GEOID20,district
12129000006,6
120170300.1,7
12007000018,8
12123000003,9
12023000018,10
12031000293,11
12115000029,12
12101000072,13
12089050103,14
12127000177,15
12033000103,16
12071000124,17
12127000037,18
12109000027,19
12105000242,20
12127000074,21
12083000017,22
12077000005,24
12099000661,25
1201100C017,26
12009000204,0
12033000012,1
12019020600,2
12101000147,3
12057000814,4
12061000027,5
12129000012,6
120170300.2,7
12001000071,8
12123000005,9
12125000007,10
12031000026,11
12115000038,12
12101000197,13
12089010100,14
12127000197,15
12033000096,16
12021000081,17
12107000020,18
12127000120,19
12105000235,20
12127000093,21
12083000082,22
12097000506,23
12097000502,23
12073002365,24
12099000014,25
1201100C018,26
12009000207,0
12033000017,1
12031000280,2
12101000014,3
12057000711,4
12061000022,5
12129000001,6
12069000128,7
12001000006,8
12121000014,9
12023000025,10
12031000266,11
12015000068,12
12103000350,13
12089010101,14
12127000204,15
12033000106,16
12021000068,17
12083000034,18
12127000126,19
12105000220,20
12069000005,21
12083000006,22
12097000520,23
12039000016,24
12099000718,25
1201100C019,26
12009000111,0
12033000005,1
12031000281,2
12101000122,3
12057000705,4
12061000030,5
12129000003,6
12117000019,7
12007000017,8
12075000012,9
12047000004,10
12031000265,11
12071000021,12
12103000354,13
12127000206,15
12033000098,16
12021000114,17
12083000035,18
12127000125,19
12057000767,20
12069000006,21
12083000080,22
12097000505,23
12037000006,24
12099000720,25
1201100C016,26
12009000221,0
12033000016,1
12031000082,2
12101000216,3
12057000633,4
12061000017,5
12129000011,6
12117000024,7
12007000016,8
12123000011,9
12007000008,10
12031000261,11
12071000107,12
12103000302,13
12085000043,14
12085000014,14
12127000200,15
12033000227,16
12071000122,17
12083000036,18
12019061200,19
12105000221,20
12127000071,21
12083000081,22
12097000501,23
12129000004,24
12099000721,25
1201100C014,26
12009000226,0
12033000076,1
12031000083,2
12105000301,3
12101000068,4
12061000016,5
12129000008,6
12095000237,7
12031000212,8
120170305.2,9
12023000013,10
12031000268,11
12071000112,12
12103000293,13
12085000030,14
12127000192,15
12033000229,16
12021000067,17
12069000003,18
12127000106,19
1209300P-02,20
12127000022,21
12083000056,22
12097000420,23
12013000503,24
12099000870,25
1201100C022,26
12009000240,0
12033000077,1
12031000085,2
12105000306,3
12101000175,4
12061000013,5
12129000009,6
12069000046,7
1201950601a,8
12121000007,9
12023000017,10
12031000135,11
12071000055,12
12103000292,13
12085000101,14
12127000216,15
12033000232,16
12071000121,17
12127000011,18
12127000123,19
1209300P-01,20
12127000075,21
12083000004,22
12097000508,23
12063000024,24
12099000547,25
1201100C001,26
12009000107,0
12033000078,1
12031000086,2
12105000312,3
12105000114,4
12111000009,5
12077000006,6
12069000025,7
12001000067,8
12079000008,9
12023000015,10
12031000059,11
12071000101,12
12103000343,13
12085000049,14
12127000209,15
12033000228,16
12071000106,17
12107000023,18
12127000002,19
12105000250,20
12127000070,21
12083000012,22
12097000504,23
12037000007,24
12099000548,25
1201100B004,26
12009000131,0
12033000018,1
12031000283,2
12105000314,3
12105000119,4
12111000016,5
12073001257,6
12069000050,7
1201960000a,8
12029000008,9
12007000004,10
12031000021,11
12071000116,12
12101000161,13
12085000013,14
12117000061,15
12033000226,16
12071000098,17
12083000033,18
12127000012,19
12027000001,20
12127000056,21
12083000003,22
12097000400,23
12039000018,24
12099000741,25
1201100B001,26
12009000215,0
12033000019,1
12031000089,2
12105000415,3
12101000137,4
12111000012,5
12129000010,6
12117000001,7
12031000202,8
12067000002,9
12023000020,10
12031000267,11
12021000131,12
12101000133,13
12085000040,14
12127000193,15
12033000042,16
12071000094,17
12083000026,18
12127000023,19
12027000003,20
12069000083,21
12083000072,22
12097000407,23
12013000502,24
12099000711,25
1201100B002,26
12009000208,0
12033000063,1
12031000108,2
12105000337,3
12057000639,4
12111000015,5
12129000005,6
12069000076,7
12019050401,8
12123000009,9
12041000002,10
12031000294,11
12071000093,12
12101000113,13
12085000050,14
12127000236,15
12033000040,16
12071000097,17
12069000002,18
12127000026,19
12105000533,20
12127000091,21
12083000079,22
12097000500,23
12037000002,24
12099000633,25
1201100A001,26
12009000222,0
12033000090,1
12031000111,2
12105000339,3
12105000307,4
12111000008,5
12065000012,6
12069000126,7
12031000216,8
12079000007,9
12023000002,10
12031000258,11
12071000102,12
12057000527,13
12085000061,14
12127000195,15
12033000105,16
12071000057,17
12127000001,18
12127000043,19
12027000012,20
12069000056,21
12083000022,22
1209300P-10,23
12077000008,24
12099000639,25
12099000507,26
12009000127,0
12033000092,1
12019041000,2
12105000336,3
